Comune,"Ospedale di riferimento (linea d’aria, macro-area)",Indirizzo Ospedale,Telefono,Prenotazioni/CUP,Note,Latitudine,Longitudine
Turbigo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Vanzaghello,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Vanzago,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Vaprio d'Adda,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Vermezzo con Zelo,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Vernate,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
Vignate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Villa Cortese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano,45.5085,9.1346
Vimodrone,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate),45.5021,9.2761
Vittuone,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano,45.4695,9.1074
Vizzolo Predabissi,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano,45.408,9.2672
Zibido San Giacomo,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati,45.3809,9.1537
